event_id,source_event_name,display_name,series,source_system,event_type,date,year,month,total_players
online-challenge-2025-11-11,MTGO Challenge (2025-11-11),Challenge,Challenge,mtgo,online,2025-11-11,2025,11,48
online-challenge-2025-11-09,MTGO Challenge (2025-11-09),Challenge,Challenge,mtgo,online,2025-11-09,2025,11,48
online-challenge-2025-11-08,MTGO Challenge (2025-11-08),Challenge,Challenge,mtgo,online,2025-11-08,2025,11,50
online-challenge-2025-11-07,MTGO Challenge (2025-11-07),Challenge,Challenge,mtgo,online,2025-11-07,2025,11,54
online-challenge-2025-11-02,MTGO Challenge (2025-11-02),Challenge,Challenge,mtgo,online,2025-11-02,2025,11,72
online-challenge-2025-11-01,MTGO Challenge (2025-11-01),Challenge,Challenge,mtgo,online,2025-11-01,2025,11,42
online-challenge-2025-10-31,MTGO Challenge (2025-10-31),Challenge,Challenge,mtgo,online,2025-10-31,2025,10,51
online-challenge-2025-10-26,MTGO Challenge (2025-10-26),Challenge,Challenge,mtgo,online,2025-10-26,2025,10,63
online-challenge-2025-10-25,MTGO Challenge (2025-10-25),Challenge,Challenge,mtgo,online,2025-10-25,2025,10,47
online-challenge-2025-10-24,MTGO Challenge (2025-10-24),Challenge,Challenge,mtgo,online,2025-10-24,2025,10,55
online-challenge-2025-10-19,MTGO Challenge (2025-10-19),Challenge,Challenge,mtgo,online,2025-10-19,2025,10,56
online-challenge-2025-10-18,MTGO Challenge (2025-10-18),Challenge,Challenge,mtgo,online,2025-10-18,2025,10,43
online-challenge-2025-10-17,MTGO Challenge (2025-10-17),Challenge,Challenge,mtgo,online,2025-10-17,2025,10,60
online-challenge-2025-10-12,MTGO Challenge (2025-10-12),Challenge,Challenge,mtgo,online,2025-10-12,2025,10,67
online-challenge-2025-10-11,MTGO Challenge (2025-10-11),Challenge,Challenge,mtgo,online,2025-10-11,2025,10,50
online-challenge-2025-10-10,MTGO Challenge (2025-10-10),Challenge,Challenge,mtgo,online,2025-10-10,2025,10,52
online-challenge-2025-10-05,MTGO Challenge (2025-10-05),Challenge,Challenge,mtgo,online,2025-10-05,2025,10,63
online-challenge-2025-10-04,MTGO Challenge (2025-10-04),Challenge,Challenge,mtgo,online,2025-10-04,2025,10,47
online-challenge-2025-10-03,MTGO Challenge (2025-10-03),Challenge,Challenge,mtgo,online,2025-10-03,2025,10,56
online-challenge-2025-09-28,MTGO Challenge (2025-09-28),Challenge,Challenge,mtgo,online,2025-09-28,2025,9,63
online-challenge-2025-09-27,MTGO Challenge (2025-09-27),Challenge,Challenge,mtgo,online,2025-09-27,2025,9,49
online-challenge-2025-09-26,MTGO Challenge (2025-09-26),Challenge,Challenge,mtgo,online,2025-09-26,2025,9,51
online-challenge-2025-09-21,MTGO Challenge (2025-09-21),Challenge,Challenge,mtgo,online,2025-09-21,2025,9,58
online-challenge-2025-09-20,MTGO Challenge (2025-09-20),Challenge,Challenge,mtgo,online,2025-09-20,2025,9,44
online-challenge-2025-09-19,MTGO Challenge (2025-09-19),Challenge,Challenge,mtgo,online,2025-09-19,2025,9,50
online-challenge-2025-09-14,MTGO Challenge (2025-09-14),Challenge,Challenge,mtgo,online,2025-09-14,2025,9,56
online-challenge-2025-09-13,MTGO Challenge (2025-09-13),Challenge,Challenge,mtgo,online,2025-09-13,2025,9,39
online-challenge-2025-09-12,MTGO Challenge (2025-09-12),Challenge,Challenge,mtgo,online,2025-09-12,2025,9,44
online-challenge-2025-09-07,MTGO Challenge (2025-09-07),Challenge,Challenge,mtgo,online,2025-09-07,2025,9,58
online-challenge-2025-09-06,MTGO Challenge (2025-09-06),Challenge,Challenge,mtgo,online,2025-09-06,2025,9,47
online-challenge-2025-09-05,MTGO Challenge (2025-09-05),Challenge,Challenge,mtgo,online,2025-09-05,2025,9,44
online-challenge-2025-08-31,MTGO Challenge (2025-08-31),Challenge,Challenge,mtgo,online,2025-08-31,2025,8,67
online-challenge-2025-08-30,MTGO Challenge (2025-08-30),Challenge,Challenge,mtgo,online,2025-08-30,2025,8,56
online-challenge-2025-08-29,MTGO Challenge (2025-08-29),Challenge,Challenge,mtgo,online,2025-08-29,2025,8,49
online-challenge-2025-08-24,MTGO Challenge (2025-08-24),Challenge,Challenge,mtgo,online,2025-08-24,2025,8,60
online-challenge-2025-08-23,MTGO Challenge (2025-08-23),Challenge,Challenge,mtgo,online,2025-08-23,2025,8,38
online-challenge-2025-08-17,MTGO Challenge (2025-08-17),Challenge,Challenge,mtgo,online,2025-08-17,2025,8,66
online-challenge-2025-08-16,MTGO Challenge (2025-08-16),Challenge,Challenge,mtgo,online,2025-08-16,2025,8,42
